Scenario,Controller,Baseline,Baseline Mean Reward,Baseline Std Reward,Controller Mean Reward,Controller Std Reward,Reward Improvement (%),Reward Test Statistic,Reward P-Value,Reward Significant,Baseline Mean MSE,Baseline Std MSE,Controller Mean MSE,Controller Std MSE,MSE Improvement (%),MSE Test Statistic,MSE P-Value,MSE Significant
Decreasing,PSO+CIRL,Static PID,-11.724734529865724,0.418766514288248,-22.207668558904306,0.19047797617560375,-89.40871115107998,-45.572885828820326,5.936833056392668e-11,Yes,0.13027482810961916,0.0046529612698693835,0.24675187287671446,0.002116421957506699,-89.40871115107996,45.57288582882066,5.936833056392329e-11,Yes
Increasing,PSO+CIRL,Static PID,-6.512219492095708,0.02827111076470681,-8.99203325706683,0.7696541098495778,-38.07939471298576,-6.4396265068010745,0.00020050416057407216,Yes,0.07235799435661895,0.0003141234529411901,0.09991148063407589,0.008551712331661994,-38.07939471298582,6.439626506801068,0.00020050416057407344,Yes
Peak,PSO+CIRL,Static PID,-6.470775252691446,0.06781492685574048,-11.294838665818748,0.08734888858002568,-74.55155255347165,-87.24749949680329,3.323164451201504e-13,Yes,0.07189750280768276,0.0007534991872859938,0.12549820739798606,0.0009705432064447724,-74.55155255347157,87.2474994968013,3.323164451202106e-13,Yes
Step,PSO+CIRL,Static PID,-7.878971179655167,0.03815447864318539,-16.406884607046003,0.1411103295778317,-108.23638306244028,-116.67880310387507,3.253597485848354e-14,Yes,0.08754412421839076,0.00042393865159089886,0.18229871785606666,0.0015678925508647707,-108.23638306244018,116.67880310387773,3.2535974858477645e-14,Yes
Valley,PSO+CIRL,Static PID,-12.054649109767706,0.3570683637640535,-21.84470929933769,0.05401038622330042,-81.21397894225923,-54.21902299961589,1.485099189492534e-11,Yes,0.13394054566408556,0.003967426264045066,0.24271899221486323,0.0006001154024810815,-81.21397894225933,54.21902299961562,1.4850991894925922e-11,Yes
